Material 1,"Thickness 1, mm","Specific electrical resistance 1, 10^-8 Ω*m",Material 2,"Thickness 2, mm","Specific electrical resistance 2, 10^-8 Ω*m",Current modes,"RBE cold (max), mΩ","RBE cold (mean), mΩ","RBE cold (min), mΩ","RBE preheated (max), mΩ","RBE preheated (mean), mΩ","RBE preheated (min), mΩ",SD cold,MAD cold,SD preheated,MAD preheated
Al-6Mg,1.0,6.73,Al-6Mg,1.0,6.73,1,2.1234121,1.0611252,0.6175124,0.836321,0.566652,0.686995,0.3215814,0.2517444,0.059599,0.048286
Al-6Mg,1.0,6.73,Al-6Mg,1.0,6.73,2,2.5175927,1.281154208,0.696197136,0.898464295,0.779271301,0.617112226,0.394799315,0.31547567,0.056041352,0.044754711
Al-6Mg,1.0,6.73,Al-6Mg,1.0,6.73,3,4.4269983,2.4521381,0.88531,0.989768,0.794157,0.644028,0.7533681,0.6293008,0.059209,0.048725
Al-6Mg,1.0,6.73,Al-6Mg,1.0,6.73,4,4.394035088,2.163202423,0.751576844,1.011246391,0.827881871,0.691713199,0.784000632,0.65048946,0.063266487,0.051647471
Al-6Mg,1.0,6.73,CP Cu,0.8,1.72,1,1.1242509,0.5869929,0.3144029,0.536818,0.392482,0.278852,0.1613982,0.1300221,0.057327,0.048343
Al-6Mg,1.0,6.73,CP Cu,0.8,1.72,2,1.6204821,1.0074479,0.6784181,0.544927,0.478971,0.393483,0.1937313,0.1501062,0.032435,0.025412
Al-6Mg,1.0,6.73,CP Cu,0.8,1.72,3,1.700807956,0.826740509,0.49973623,0.635682872,0.514799588,0.420028028,0.22577235,0.178988899,0.041504554,0.034008609
Al-6Mg,1.0,6.73,CP Cu,0.8,1.72,4,1.5926905,1.03433,0.6881424,0.544575,0.471462,0.419884,0.1918074,0.1525721,0.026501,0.021338
CP Cu,0.8,1.72,CP Cu,0.8,1.72,1,0.6622371,0.294961,0.159315,0.292206,0.20203,0.149321,0.0820054,0.0584652,0.030202,0.02351
CP Cu,0.8,1.72,CP Cu,0.8,1.72,2,0.6985483,0.3724472,0.2142203,0.302125,0.238271,0.168362,0.0990184,0.0784391,0.030413,0.024432
CP Cu,0.8,1.72,CP Cu,0.8,1.72,3,0.801479,0.349996,0.1901346,0.356185,0.246486,0.173096,0.0967752,0.069183,0.042653,0.034548
CP Cu,0.8,1.72,CP Cu,0.8,1.72,4,0.6819646,0.349444,0.2225509,0.334604,0.245951,0.205443,0.0805252,0.0594163,0.028637,0.023164
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.2,9.0,1,0.4458968,0.2683745,0.1614778,0.216432,0.172302,0.135883,0.0553884,0.0440405,0.014881,0.011725
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.2,9.0,2,0.5547875,0.3201199,0.1768816,0.348067,0.233893,0.143584,0.0722138,0.0544393,0.048057,0.038309
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.2,9.0,3,0.4368222,0.317303,0.2086776,0.30764,0.235053,0.183452,0.0437908,0.0353496,0.026074,0.020288
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.2,9.0,4,0.3873558,0.3087886,0.2153335,0.297983,0.24272,0.210451,0.0350858,0.0291165,0.017648,0.013634
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.5,9.0,1,0.8209116,0.4627468,0.2580127,0.416978,0.293774,0.215139,0.1399262,0.1161888,0.053037,0.043605
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.5,9.0,2,1.0334718,0.5631926,0.3115693,0.426967,0.339063,0.267121,0.1679067,0.1341576,0.038497,0.031493
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.5,9.0,3,1.3009067,0.4831094,0.2225458,0.468494,0.325828,0.209882,0.1519963,0.1083451,0.048188,0.037224
CuBe2NiTi bronze,0.2,9.0,CuBe2NiTi bronze,0.5,9.0,4,1.1189645,0.6319287,0.3361799,0.487591,0.38598,0.284315,0.18407,0.1537963,0.045804,0.037386
CuBe2NiTi bronze,0.5,9.0,CuBe2NiTi bronze,0.5,9.0,1,0.4602827,0.3390241,0.2318984,0.333855,0.247745,0.212238,0.0483714,0.0381066,0.020637,0.015816
CuBe2NiTi bronze,0.5,9.0,CuBe2NiTi bronze,0.5,9.0,2,0.4434075,0.3406646,0.2668337,0.336411,0.272335,0.228339,0.040294,0.033038,0.019794,0.015169
CuBe2NiTi bronze,0.5,9.0,CuBe2NiTi bronze,0.5,9.0,3,0.6677764,0.3760299,0.2519371,0.424649,0.296071,0.231631,0.0736064,0.0573195,0.039535,0.030515
CuBe2NiTi bronze,0.5,9.0,CuBe2NiTi bronze,0.5,9.0,4,0.8372366,0.4522596,0.309016,0.446114,0.35203,0.286504,0.102899,0.075788,0.031733,0.025697
CuZn37 brass,0.2,7.0,CuZn37 brass,0.2,7.0,1,0.5418362,0.3066054,0.1788506,0.251462,0.179083,0.131218,0.0834455,0.0671389,0.021153,0.016718
CuZn37 brass,0.2,7.0,CuZn37 brass,0.2,7.0,2,0.5005078,0.263616,0.1341204,0.220588,0.163424,0.109782,0.0842355,0.064498,0.024325,0.019513
CuZn37 brass,0.2,7.0,CuZn37 brass,0.2,7.0,3,0.3253768,0.2145491,0.117635,0.170811,0.130835,0.100473,0.0507966,0.0423768,0.0145,0.011847
CuZn37 brass,0.2,7.0,CuZn37 brass,0.2,7.0,4,0.327333807,0.220732287,0.137896139,0.18316666,0.144206386,0.116241833,0.045027149,0.037403005,0.015854276,0.012990421
CuZn37 brass,0.2,7.0,CuZn37 brass,0.4,7.0,1,0.4298896,0.2665745,0.1466542,0.231339,0.164682,0.120091,0.077263,0.0661032,0.023445,0.019382
CuZn37 brass,0.2,7.0,CuZn37 brass,0.4,7.0,2,0.515979364,0.249864277,0.158325008,0.271006882,0.174921651,0.140493596,0.061265699,0.048185204,0.019173106,0.012952612
CuZn37 brass,0.2,7.0,CuZn37 brass,0.4,7.0,3,0.4596736,0.252951,0.1596024,0.311955,0.18462,0.151527,0.0524857,0.0411615,0.022344,0.014945
CuZn37 brass,0.2,7.0,CuZn37 brass,0.4,7.0,4,0.3690643,0.2642676,0.1902887,0.258636,0.209662,0.173626,0.0440957,0.0354205,0.019203,0.015972
CuZn37 brass,0.4,7.0,CuZn37 brass,0.4,7.0,1,0.395010353,0.223424208,0.130148536,0.184244565,0.148747594,0.11911445,0.050323047,0.03986673,0.016686847,0.014351785
CuZn37 brass,0.4,7.0,CuZn37 brass,0.4,7.0,2,0.4517454,0.2447405,0.1676219,0.21595,0.173082,0.140541,0.0581455,0.0429506,0.017085,0.013801
CuZn37 brass,0.4,7.0,CuZn37 brass,0.4,7.0,3,0.3368661,0.2162404,0.1379053,0.194058,0.153382,0.128241,0.0399543,0.03152,0.013592,0.01091
CuZn37 brass,0.4,7.0,CuZn37 brass,0.4,7.0,4,0.3214992,0.2001911,0.1291694,0.198341,0.148408,0.122511,0.0391635,0.0317153,0.016729,0.013329
CuZn37 brass,0.4,7.0,CP Cu,0.8,1.72,1,0.9191591,0.3755018,0.1419866,0.357963,0.214768,0.129571,0.1597956,0.1270502,0.046868,0.037075
CuZn37 brass,0.4,7.0,CP Cu,0.8,1.72,2,0.8570441,0.3795773,0.1802631,0.334542,0.23082,0.174917,0.1343497,0.101172,0.028322,0.022349
CuZn37 brass,0.4,7.0,CP Cu,0.8,1.72,3,0.5171815,0.2948743,0.1646454,0.281458,0.198794,0.147293,0.0712325,0.055418,0.028953,0.023069
CuZn37 brass,0.4,7.0,CP Cu,0.8,1.72,4,0.6423077,0.3458023,0.1963503,0.310969,0.222786,0.172113,0.0983553,0.0778213,0.02966,0.024313
SS 321,0.3,73.0,SS 321,0.3,73.0,1,3.2624639,2.3028875,0.8516269,1.125513,1.004609,0.872706,0.382999,0.3030671,0.045553,0.036188
SS 321,0.3,73.0,SS 321,0.3,73.0,2,3.1707154,1.9912681,1.0759639,1.190685,1.038025,0.921026,0.4073765,0.3337126,0.041495,0.03271
SS 321,0.3,73.0,SS 321,0.3,73.0,3,4.3863248,2.5478749,1.3453827,1.12183,1.00036,0.920854,0.6055381,0.465747,0.037264,0.028892
SS 321,0.3,73.0,SS 321,0.3,73.0,4,4.271764347,2.143269491,1.3135943,1.191960146,1.038588069,0.918213243,0.541955538,0.411202461,0.050746053,0.039440205
SS 321,0.3,73.0,SS 321,0.5,73.0,1,5.607219311,3.406808297,1.769183448,1.389454786,1.258399662,1.14399706,0.725675947,0.587835132,0.042653283,0.034435153
SS 321,0.3,73.0,SS 321,0.5,73.0,2,4.4375619,2.8133754,1.6542639,1.449146,1.272537,1.113553,0.5941455,0.4684933,0.06099,0.047825
SS 321,0.3,73.0,SS 321,0.5,73.0,3,5.370722,3.0031487,1.4999036,1.362604,1.217902,1.083374,0.7203281,0.57215,0.051646,0.041588
SS 321,0.3,73.0,SS 321,0.5,73.0,4,4.5700549,2.5624125,1.4650087,1.38859,1.242752,1.089181,0.493815,0.3760908,0.05045,0.03954
SS 321,0.3,73.0,SS 321,0.8,73.0,1,4.8148128,3.1074283,1.7176188,1.414823,1.270767,1.134598,0.628306,0.5066332,0.053205,0.04354
SS 321,0.3,73.0,SS 321,0.8,73.0,2,4.9490328,3.0239132,2.1287835,1.460042,1.265321,1.142219,0.5045151,0.4021873,0.05953,0.047481
SS 321,0.3,73.0,SS 321,0.8,73.0,3,4.088069533,2.616794394,1.850009639,1.559082699,1.383925536,1.224073099,0.374383786,0.293628235,0.054241198,0.044189822
SS 321,0.3,73.0,SS 321,0.8,73.0,4,4.8195023,2.7385103,1.6487372,1.497305,1.288807,1.151926,0.5126796,0.3910709,0.06723,0.054753
SS 321,0.5,73.0,SS 321,0.5,73.0,1,5.8034029,3.3113532,2.1430131,1.467806,1.342917,1.244781,0.6845582,0.5352533,0.039876,0.031922
SS 321,0.5,73.0,SS 321,0.5,73.0,2,5.99,3.8209346,1.9098066,1.55134,1.422771,1.248085,0.6204335,0.4942758,0.049114,0.037055
SS 321,0.5,73.0,SS 321,0.5,73.0,3,5.811577312,3.794705173,2.243240677,1.531045955,1.395028715,1.214480605,0.822268862,0.672579313,0.046719004,0.036781871
SS 321,0.5,73.0,SS 321,0.5,73.0,4,5.0095334,3.4558226,2.3408843,1.543652,1.420101,1.270974,0.4659663,0.3727691,0.04488,0.035501
SS 321,0.8,73.0,SS 321,0.8,73.0,1,4.7205213,2.8823151,1.8262395,1.505744,1.371771,1.23366,0.4871611,0.383358,0.050594,0.040027
SS 321,0.8,73.0,SS 321,0.8,73.0,2,5.8763415,3.9778051,2.454598,1.613282,1.476774,1.368489,0.6230193,0.492128,0.043237,0.035192
SS 321,0.8,73.0,SS 321,0.8,73.0,3,5.0858053,3.7812788,2.7216439,1.732506,1.5283,1.371434,0.4257211,0.3312963,0.0511,0.039983
SS 321,0.8,73.0,SS 321,0.8,73.0,4,5.8429055,4.1313557,2.62919,1.749359,1.548438,1.419775,0.6292153,0.5028699,0.048967,0.038902
Ti-0.8Al-0.8Mn,0.5,42.0,Ti-0.8Al-0.8Mn,0.5,42.0,1,3.0879539,2.21,1.58,1.977796,1.821472,1.377921,0.3369778,0.2826353,0.101381,0.079685
Ti-0.8Al-0.8Mn,0.5,42.0,Ti-0.8Al-0.8Mn,0.5,42.0,2,4.7326744,3.2244557,2.1724359,1.973862,1.789199,1.440858,0.5473079,0.4430957,0.110302,0.090371
Ti-0.8Al-0.8Mn,0.5,42.0,Ti-0.8Al-0.8Mn,0.5,42.0,3,5.9823344,4.4857295,2.05,2.022969,1.882236,1.390109,0.8033471,0.6229072,0.108505,0.081239
Ti-0.8Al-0.8Mn,0.5,42.0,Ti-0.8Al-0.8Mn,0.5,42.0,4,5.303736457,2.789499025,1.437551434,1.728885275,1.542729482,1.308323823,0.966057074,0.816679995,0.104391262,0.086608162
Ti-0.8Al-0.8Mn,0.5,42.0,Zr-1Nb,0.5,55.0,1,3.1406047,2.0405984,1.294978,1.496788,1.268234,1.10901,0.3871733,0.2967337,0.087026,0.07022
Ti-0.8Al-0.8Mn,0.5,42.0,Zr-1Nb,0.5,55.0,2,3.9440733,3.024806,2.1006892,1.500282,1.397602,1.250164,0.3584104,0.2814481,0.048487,0.039264
Ti-0.8Al-0.8Mn,0.5,42.0,Zr-1Nb,0.5,55.0,3,5.2621444,3.759354,2.4003358,1.700016,1.555756,1.391188,0.5372195,0.4429953,0.054657,0.042391
Ti-0.8Al-0.8Mn,0.5,42.0,Zr-1Nb,0.5,55.0,4,5.776202951,4.037559138,2.492010475,1.679542854,1.51327132,1.375275042,0.591583653,0.456218242,0.052014456,0.039105407
Zr-1Nb,0.5,55.0,Zr-1Nb,0.5,55.0,1,5.663246257,3.694646184,1.693595878,1.454340491,1.362730174,1.246398111,0.756942406,0.606773095,0.044184945,0.03690666
Zr-1Nb,0.5,55.0,Zr-1Nb,0.5,55.0,2,5.893008161,3.600027758,1.984480432,1.452404279,1.339252169,1.232235904,0.740163646,0.626740582,0.041627891,0.032267505
Zr-1Nb,0.5,55.0,Zr-1Nb,0.5,55.0,3,3.625435383,2.343808639,1.277246343,1.295553807,1.158836341,1.05497948,0.469767583,0.382165638,0.044817737,0.036212539
Zr-1Nb,0.5,55.0,Zr-1Nb,0.5,55.0,4,4.815181748,3.055462902,1.819664546,1.381953216,1.285572917,1.180924029,0.637637919,0.534091813,0.044122834,0.035608905
Zr-1Nb,0.5,55.0,Zr-1Nb,0.8,55.0,1,3.974969475,2.622477916,1.306717405,1.420423786,1.243969549,1.111546238,0.676457752,0.578677564,0.060422141,0.047409008
Zr-1Nb,0.5,55.0,Zr-1Nb,0.8,55.0,2,5.378076602,3.397465724,1.822913052,1.419251891,1.258607392,1.144710053,0.706147276,0.576828866,0.063437851,0.049406238
Zr-1Nb,0.5,55.0,Zr-1Nb,0.8,55.0,3,5.37929921,3.863972504,2.41255382,1.601736746,1.42644686,1.299155645,0.598413781,0.488989448,0.049366424,0.037811987
Zr-1Nb,0.5,55.0,Zr-1Nb,0.8,55.0,4,4.566824017,3.155837329,1.721226142,1.482739515,1.294875154,1.123913768,0.572192264,0.457662342,0.087841425,0.075714973
Zr-1Nb,0.8,55.0,Zr-1Nb,0.8,55.0,1,3.421063878,2.056810228,1.286650192,1.3766771,1.205161336,1.083398793,0.450836609,0.38272299,0.058640757,0.047005396
Zr-1Nb,0.8,55.0,Zr-1Nb,0.8,55.0,2,4.626502153,2.664402299,1.4421631,1.454576201,1.207507204,1.109360066,0.742219067,0.618191145,0.049392497,0.036787051
Zr-1Nb,0.8,55.0,Zr-1Nb,0.8,55.0,3,5.177028355,2.963129411,1.753291884,1.619857438,1.354651016,1.263372676,0.663709615,0.537608016,0.048946903,0.037837552
Zr-1Nb,0.8,55.0,Zr-1Nb,0.8,55.0,4,4.257277526,2.871179558,1.816657027,1.408886059,1.261838919,1.126324628,0.355917417,0.27171364,0.057365414,0.043816025
